"","sim","N"
"1","Exact Stochastic IbM (simulations)",9759
"2","Exact Stochastic IbM (simulations)",10125
"3","Exact Stochastic IbM (simulations)",9871
"4","Exact Stochastic IbM (simulations)",10243
"5","Exact Stochastic IbM (simulations)",10179
"6","Exact Stochastic IbM (simulations)",10006
"7","Exact Stochastic IbM (simulations)",10182
"8","Exact Stochastic IbM (simulations)",9986
"9","Exact Stochastic IbM (simulations)",10329
"10","Exact Stochastic IbM (simulations)",9930
"11","Exact Stochastic IbM (simulations)",9965
"12","Exact Stochastic IbM (simulations)",9910
"13","Exact Stochastic IbM (simulations)",9856
"14","Exact Stochastic IbM (simulations)",10184
"15","Exact Stochastic IbM (simulations)",9925
"16","Exact Stochastic IbM (simulations)",9961
"17","Exact Stochastic IbM (simulations)",9846
"18","Exact Stochastic IbM (simulations)",9974
"19","Exact Stochastic IbM (simulations)",10149
"20","Exact Stochastic IbM (simulations)",10037
"21","Exact Stochastic IbM (simulations)",9884
"22","Exact Stochastic IbM (simulations)",9849
"23","Exact Stochastic IbM (simulations)",9864
"24","Exact Stochastic IbM (simulations)",9984
"25","Exact Stochastic IbM (simulations)",9912
"26","Exact Stochastic IbM (simulations)",10179
"27","Exact Stochastic IbM (simulations)",10183
"28","Exact Stochastic IbM (simulations)",10055
"29","Exact Stochastic IbM (simulations)",10011
"30","Exact Stochastic IbM (simulations)",10122
"31","Exact Stochastic IbM (simulations)",10007
"32","Exact Stochastic IbM (simulations)",9938
"33","Exact Stochastic IbM (simulations)",10084
"34","Exact Stochastic IbM (simulations)",10176
"35","Exact Stochastic IbM (simulations)",9826
"36","Exact Stochastic IbM (simulations)",10033
"37","Exact Stochastic IbM (simulations)",9953
"38","Exact Stochastic IbM (simulations)",9726
"39","Exact Stochastic IbM (simulations)",10112
"40","Exact Stochastic IbM (simulations)",9962
"41","Exact Stochastic IbM (simulations)",9998
"42","Exact Stochastic IbM (simulations)",9668
"43","Exact Stochastic IbM (simulations)",9796
"44","Exact Stochastic IbM (simulations)",9955
"45","Exact Stochastic IbM (simulations)",10197
"46","Exact Stochastic IbM (simulations)",10292
"47","Exact Stochastic IbM (simulations)",9988
"48","Exact Stochastic IbM (simulations)",10032
"49","Exact Stochastic IbM (simulations)",9938
"50","Exact Stochastic IbM (simulations)",9990
"51","Exact Stochastic IbM (simulations)",9999
"52","Exact Stochastic IbM (simulations)",10035
"53","Exact Stochastic IbM (simulations)",9767
"54","Exact Stochastic IbM (simulations)",9991
"55","Exact Stochastic IbM (simulations)",9957
"56","Exact Stochastic IbM (simulations)",10060
"57","Exact Stochastic IbM (simulations)",10047
"58","Exact Stochastic IbM (simulations)",9880
"59","Exact Stochastic IbM (simulations)",10040
"60","Exact Stochastic IbM (simulations)",9863
"61","Exact Stochastic IbM (simulations)",10026
"62","Exact Stochastic IbM (simulations)",9815
"63","Exact Stochastic IbM (simulations)",9852
"64","Exact Stochastic IbM (simulations)",9925
"65","Exact Stochastic IbM (simulations)",10066
"66","Exact Stochastic IbM (simulations)",10116
"67","Exact Stochastic IbM (simulations)",9911
"68","Exact Stochastic IbM (simulations)",10163
"69","Exact Stochastic IbM (simulations)",10156
"70","Exact Stochastic IbM (simulations)",10066
"71","Exact Stochastic IbM (simulations)",9955
"72","Exact Stochastic IbM (simulations)",9880
"73","Exact Stochastic IbM (simulations)",10075
"74","Exact Stochastic IbM (simulations)",9934
"75","Exact Stochastic IbM (simulations)",9908
"76","Exact Stochastic IbM (simulations)",10020
"77","Exact Stochastic IbM (simulations)",9751
"78","Exact Stochastic IbM (simulations)",9905
"79","Exact Stochastic IbM (simulations)",9937
"80","Exact Stochastic IbM (simulations)",9993
"81","Exact Stochastic IbM (simulations)",9983
"82","Exact Stochastic IbM (simulations)",9981
"83","Exact Stochastic IbM (simulations)",10077
"84","Exact Stochastic IbM (simulations)",10138
"85","Exact Stochastic IbM (simulations)",9982
"86","Exact Stochastic IbM (simulations)",9874
"87","Exact Stochastic IbM (simulations)",10020
"88","Exact Stochastic IbM (simulations)",9810
"89","Exact Stochastic IbM (simulations)",9998
"90","Exact Stochastic IbM (simulations)",10041
"91","Exact Stochastic IbM (simulations)",10028
"92","Exact Stochastic IbM (simulations)",10055
"93","Exact Stochastic IbM (simulations)",9859
"94","Exact Stochastic IbM (simulations)",10007
"95","Exact Stochastic IbM (simulations)",10068
"96","Exact Stochastic IbM (simulations)",9752
"97","Exact Stochastic IbM (simulations)",10048
"98","Exact Stochastic IbM (simulations)",10023
"99","Exact Stochastic IbM (simulations)",10046
"100","Exact Stochastic IbM (simulations)",10222
"101","Exact Stochastic IbM (simulations)",10000
"102","Exact Stochastic IbM (simulations)",10192
"103","Exact Stochastic IbM (simulations)",10043
"104","Exact Stochastic IbM (simulations)",9881
"105","Exact Stochastic IbM (simulations)",9864
"106","Exact Stochastic IbM (simulations)",9990
"107","Exact Stochastic IbM (simulations)",9724
"108","Exact Stochastic IbM (simulations)",10091
"109","Exact Stochastic IbM (simulations)",9969
"110","Exact Stochastic IbM (simulations)",10052
"111","Exact Stochastic IbM (simulations)",10041
"112","Exact Stochastic IbM (simulations)",10047
"113","Exact Stochastic IbM (simulations)",10163
"114","Exact Stochastic IbM (simulations)",10082
"115","Exact Stochastic IbM (simulations)",10097
"116","Exact Stochastic IbM (simulations)",9919
"117","Exact Stochastic IbM (simulations)",9759
"118","Exact Stochastic IbM (simulations)",9897
"119","Exact Stochastic IbM (simulations)",9984
"120","Exact Stochastic IbM (simulations)",10004
"121","Exact Stochastic IbM (simulations)",10061
"122","Exact Stochastic IbM (simulations)",9747
"123","Exact Stochastic IbM (simulations)",9783
"124","Exact Stochastic IbM (simulations)",9960
"125","Exact Stochastic IbM (simulations)",9872
"126","Exact Stochastic IbM (simulations)",9877
"127","Exact Stochastic IbM (simulations)",9887
"128","Exact Stochastic IbM (simulations)",9942
"129","Exact Stochastic IbM (simulations)",10059
"130","Exact Stochastic IbM (simulations)",10027
"131","Exact Stochastic IbM (simulations)",10323
"132","Exact Stochastic IbM (simulations)",10106
"133","Exact Stochastic IbM (simulations)",10287
"134","Exact Stochastic IbM (simulations)",9803
"135","Exact Stochastic IbM (simulations)",10172
"136","Exact Stochastic IbM (simulations)",9818
