"","sim","N"
"137","Exact Stochastic IbM (simulations)",10175
"138","Exact Stochastic IbM (simulations)",10038
"139","Exact Stochastic IbM (simulations)",10122
"140","Exact Stochastic IbM (simulations)",10129
"141","Exact Stochastic IbM (simulations)",10052
"142","Exact Stochastic IbM (simulations)",10062
"143","Exact Stochastic IbM (simulations)",10076
"144","Exact Stochastic IbM (simulations)",10181
"145","Exact Stochastic IbM (simulations)",9968
"146","Exact Stochastic IbM (simulations)",10279
"147","Exact Stochastic IbM (simulations)",9876
"148","Exact Stochastic IbM (simulations)",9920
"149","Exact Stochastic IbM (simulations)",10016
"150","Exact Stochastic IbM (simulations)",10050
"151","Exact Stochastic IbM (simulations)",10052
"152","Exact Stochastic IbM (simulations)",10080
"153","Exact Stochastic IbM (simulations)",10151
"154","Exact Stochastic IbM (simulations)",10211
"155","Exact Stochastic IbM (simulations)",9955
"156","Exact Stochastic IbM (simulations)",9837
"157","Exact Stochastic IbM (simulations)",10025
"158","Exact Stochastic IbM (simulations)",10053
"159","Exact Stochastic IbM (simulations)",9782
"160","Exact Stochastic IbM (simulations)",10148
"161","Exact Stochastic IbM (simulations)",9836
"162","Exact Stochastic IbM (simulations)",9881
"163","Exact Stochastic IbM (simulations)",10084
"164","Exact Stochastic IbM (simulations)",9995
"165","Exact Stochastic IbM (simulations)",9877
"166","Exact Stochastic IbM (simulations)",10117
"167","Exact Stochastic IbM (simulations)",9776
"168","Exact Stochastic IbM (simulations)",10079
"169","Exact Stochastic IbM (simulations)",9951
"170","Exact Stochastic IbM (simulations)",9945
"171","Exact Stochastic IbM (simulations)",9833
"172","Exact Stochastic IbM (simulations)",10056
"173","Exact Stochastic IbM (simulations)",9915
"174","Exact Stochastic IbM (simulations)",10091
"175","Exact Stochastic IbM (simulations)",10111
"176","Exact Stochastic IbM (simulations)",10230
"177","Exact Stochastic IbM (simulations)",9924
"178","Exact Stochastic IbM (simulations)",10061
"179","Exact Stochastic IbM (simulations)",10103
"180","Exact Stochastic IbM (simulations)",9921
"181","Exact Stochastic IbM (simulations)",9827
"182","Exact Stochastic IbM (simulations)",10278
"183","Exact Stochastic IbM (simulations)",9785
"184","Exact Stochastic IbM (simulations)",9918
"185","Exact Stochastic IbM (simulations)",10085
"186","Exact Stochastic IbM (simulations)",10157
"187","Exact Stochastic IbM (simulations)",10054
"188","Exact Stochastic IbM (simulations)",10092
"189","Exact Stochastic IbM (simulations)",9819
"190","Exact Stochastic IbM (simulations)",9812
"191","Exact Stochastic IbM (simulations)",9969
"192","Exact Stochastic IbM (simulations)",9944
"193","Exact Stochastic IbM (simulations)",10161
"194","Exact Stochastic IbM (simulations)",10070
"195","Exact Stochastic IbM (simulations)",10252
"196","Exact Stochastic IbM (simulations)",10186
"197","Exact Stochastic IbM (simulations)",9972
"198","Exact Stochastic IbM (simulations)",10006
"199","Exact Stochastic IbM (simulations)",9860
"200","Exact Stochastic IbM (simulations)",9688
"201","Exact Stochastic IbM (simulations)",10018
"202","Exact Stochastic IbM (simulations)",10096
"203","Exact Stochastic IbM (simulations)",10226
"204","Exact Stochastic IbM (simulations)",10008
"205","Exact Stochastic IbM (simulations)",9924
"206","Exact Stochastic IbM (simulations)",10128
"207","Exact Stochastic IbM (simulations)",10010
"208","Exact Stochastic IbM (simulations)",10078
"209","Exact Stochastic IbM (simulations)",10205
"210","Exact Stochastic IbM (simulations)",9805
"211","Exact Stochastic IbM (simulations)",9856
"212","Exact Stochastic IbM (simulations)",9985
"213","Exact Stochastic IbM (simulations)",10171
"214","Exact Stochastic IbM (simulations)",9861
"215","Exact Stochastic IbM (simulations)",9905
"216","Exact Stochastic IbM (simulations)",10117
"217","Exact Stochastic IbM (simulations)",9994
"218","Exact Stochastic IbM (simulations)",9892
"219","Exact Stochastic IbM (simulations)",10024
"220","Exact Stochastic IbM (simulations)",10183
"221","Exact Stochastic IbM (simulations)",9893
"222","Exact Stochastic IbM (simulations)",10280
"223","Exact Stochastic IbM (simulations)",9818
"224","Exact Stochastic IbM (simulations)",9986
"225","Exact Stochastic IbM (simulations)",10135
"226","Exact Stochastic IbM (simulations)",10200
"227","Exact Stochastic IbM (simulations)",9863
"228","Exact Stochastic IbM (simulations)",10161
"229","Exact Stochastic IbM (simulations)",10114
"230","Exact Stochastic IbM (simulations)",10056
"231","Exact Stochastic IbM (simulations)",10015
"232","Exact Stochastic IbM (simulations)",10015
"233","Exact Stochastic IbM (simulations)",10102
"234","Exact Stochastic IbM (simulations)",9973
"235","Exact Stochastic IbM (simulations)",10230
"236","Exact Stochastic IbM (simulations)",9953
"237","Exact Stochastic IbM (simulations)",9978
"238","Exact Stochastic IbM (simulations)",10042
"239","Exact Stochastic IbM (simulations)",9798
"240","Exact Stochastic IbM (simulations)",10220
"241","Exact Stochastic IbM (simulations)",9925
"242","Exact Stochastic IbM (simulations)",9915
"243","Exact Stochastic IbM (simulations)",10073
"244","Exact Stochastic IbM (simulations)",10003
"245","Exact Stochastic IbM (simulations)",9996
"246","Exact Stochastic IbM (simulations)",9871
"247","Exact Stochastic IbM (simulations)",9972
"248","Exact Stochastic IbM (simulations)",10025
"249","Exact Stochastic IbM (simulations)",9856
"250","Exact Stochastic IbM (simulations)",9915
"251","Exact Stochastic IbM (simulations)",9838
"252","Exact Stochastic IbM (simulations)",9839
"253","Exact Stochastic IbM (simulations)",9814
"254","Exact Stochastic IbM (simulations)",9904
"255","Exact Stochastic IbM (simulations)",9935
"256","Exact Stochastic IbM (simulations)",9847
"257","Exact Stochastic IbM (simulations)",9955
"258","Exact Stochastic IbM (simulations)",10119
"259","Exact Stochastic IbM (simulations)",10124
"260","Exact Stochastic IbM (simulations)",9980
"261","Exact Stochastic IbM (simulations)",10234
"262","Exact Stochastic IbM (simulations)",9901
"263","Exact Stochastic IbM (simulations)",9916
"264","Exact Stochastic IbM (simulations)",10041
"265","Exact Stochastic IbM (simulations)",9959
"266","Exact Stochastic IbM (simulations)",9794
"267","Exact Stochastic IbM (simulations)",10122
"268","Exact Stochastic IbM (simulations)",9993
"269","Exact Stochastic IbM (simulations)",10069
"270","Exact Stochastic IbM (simulations)",9849
"271","Exact Stochastic IbM (simulations)",10060
"272","Exact Stochastic IbM (simulations)",10274
"273","Exact Stochastic IbM (simulations)",9816
"274","Exact Stochastic IbM (simulations)",10209
"275","Exact Stochastic IbM (simulations)",10239
"276","Exact Stochastic IbM (simulations)",9730
"277","Exact Stochastic IbM (simulations)",10155
"278","Exact Stochastic IbM (simulations)",10164
"279","Exact Stochastic IbM (simulations)",10172
"280","Exact Stochastic IbM (simulations)",10201
"281","Exact Stochastic IbM (simulations)",10067
"282","Exact Stochastic IbM (simulations)",9870
"283","Exact Stochastic IbM (simulations)",9895
"284","Exact Stochastic IbM (simulations)",9948
"285","Exact Stochastic IbM (simulations)",10079
"286","Exact Stochastic IbM (simulations)",10117
"287","Exact Stochastic IbM (simulations)",10104
"288","Exact Stochastic IbM (simulations)",10194
"289","Exact Stochastic IbM (simulations)",9981
"290","Exact Stochastic IbM (simulations)",9814
"291","Exact Stochastic IbM (simulations)",9943
"292","Exact Stochastic IbM (simulations)",9944
"293","Exact Stochastic IbM (simulations)",10230
"294","Exact Stochastic IbM (simulations)",9845
"295","Exact Stochastic IbM (simulations)",10061
"296","Exact Stochastic IbM (simulations)",9868
"297","Exact Stochastic IbM (simulations)",10077
"298","Exact Stochastic IbM (simulations)",9964
"299","Exact Stochastic IbM (simulations)",10238
"300","Exact Stochastic IbM (simulations)",9859
"301","Exact Stochastic IbM (simulations)",9823
"302","Exact Stochastic IbM (simulations)",9942
"303","Exact Stochastic IbM (simulations)",9764
"304","Exact Stochastic IbM (simulations)",9797
"305","Exact Stochastic IbM (simulations)",9997
"306","Exact Stochastic IbM (simulations)",10087
"307","Exact Stochastic IbM (simulations)",10019
"308","Exact Stochastic IbM (simulations)",10119
"309","Exact Stochastic IbM (simulations)",9782
"310","Exact Stochastic IbM (simulations)",9718
"311","Exact Stochastic IbM (simulations)",9888
"312","Exact Stochastic IbM (simulations)",9743
"313","Exact Stochastic IbM (simulations)",9915
"314","Exact Stochastic IbM (simulations)",9878
"315","Exact Stochastic IbM (simulations)",9913
"316","Exact Stochastic IbM (simulations)",10355
"317","Exact Stochastic IbM (simulations)",9858
"318","Exact Stochastic IbM (simulations)",9991
"319","Exact Stochastic IbM (simulations)",9814
"320","Exact Stochastic IbM (simulations)",9926
"321","Exact Stochastic IbM (simulations)",9919
"322","Exact Stochastic IbM (simulations)",10173
"323","Exact Stochastic IbM (simulations)",9938
"324","Exact Stochastic IbM (simulations)",10234
"325","Exact Stochastic IbM (simulations)",10009
"326","Exact Stochastic IbM (simulations)",10002
"327","Exact Stochastic IbM (simulations)",9989
"328","Exact Stochastic IbM (simulations)",10094
"329","Exact Stochastic IbM (simulations)",10135
"330","Exact Stochastic IbM (simulations)",10054
"331","Exact Stochastic IbM (simulations)",9953
"332","Exact Stochastic IbM (simulations)",9894
"333","Exact Stochastic IbM (simulations)",9746
"334","Exact Stochastic IbM (simulations)",9541
"335","Exact Stochastic IbM (simulations)",10157
"336","Exact Stochastic IbM (simulations)",10017
"337","Exact Stochastic IbM (simulations)",10075
"338","Exact Stochastic IbM (simulations)",10086
"339","Exact Stochastic IbM (simulations)",10012
"340","Exact Stochastic IbM (simulations)",10108
"341","Exact Stochastic IbM (simulations)",10060
"342","Exact Stochastic IbM (simulations)",10223
"343","Exact Stochastic IbM (simulations)",10139
"344","Exact Stochastic IbM (simulations)",9940
"345","Exact Stochastic IbM (simulations)",9861
"346","Exact Stochastic IbM (simulations)",10008
"347","Exact Stochastic IbM (simulations)",9957
"348","Exact Stochastic IbM (simulations)",9987
"349","Exact Stochastic IbM (simulations)",9846
"350","Exact Stochastic IbM (simulations)",9904
"351","Exact Stochastic IbM (simulations)",9978
"352","Exact Stochastic IbM (simulations)",10244
"353","Exact Stochastic IbM (simulations)",10173
"354","Exact Stochastic IbM (simulations)",10000
"355","Exact Stochastic IbM (simulations)",9878
"356","Exact Stochastic IbM (simulations)",10068
"357","Exact Stochastic IbM (simulations)",10231
"358","Exact Stochastic IbM (simulations)",10124
"359","Exact Stochastic IbM (simulations)",9841
"360","Exact Stochastic IbM (simulations)",9858
"361","Exact Stochastic IbM (simulations)",10108
"362","Exact Stochastic IbM (simulations)",9827
"363","Exact Stochastic IbM (simulations)",10109
"364","Exact Stochastic IbM (simulations)",10149
"365","Exact Stochastic IbM (simulations)",10168
"366","Exact Stochastic IbM (simulations)",10017
"367","Exact Stochastic IbM (simulations)",9983
"368","Exact Stochastic IbM (simulations)",10081
"369","Exact Stochastic IbM (simulations)",9929
"370","Exact Stochastic IbM (simulations)",9912
"371","Exact Stochastic IbM (simulations)",10073
"372","Exact Stochastic IbM (simulations)",10093
"373","Exact Stochastic IbM (simulations)",10123
"374","Exact Stochastic IbM (simulations)",9894
"375","Exact Stochastic IbM (simulations)",9920
"376","Exact Stochastic IbM (simulations)",10085
"377","Exact Stochastic IbM (simulations)",9757
"378","Exact Stochastic IbM (simulations)",9927
"379","Exact Stochastic IbM (simulations)",10030
"380","Exact Stochastic IbM (simulations)",10132
"381","Exact Stochastic IbM (simulations)",10020
"382","Exact Stochastic IbM (simulations)",9951
"383","Exact Stochastic IbM (simulations)",9951
"384","Exact Stochastic IbM (simulations)",10176
"385","Exact Stochastic IbM (simulations)",9953
"386","Exact Stochastic IbM (simulations)",9892
"387","Exact Stochastic IbM (simulations)",10090
"388","Exact Stochastic IbM (simulations)",10141
"389","Exact Stochastic IbM (simulations)",9827
"390","Exact Stochastic IbM (simulations)",9944
"391","Exact Stochastic IbM (simulations)",9753
"392","Exact Stochastic IbM (simulations)",10048
"393","Exact Stochastic IbM (simulations)",9992
"394","Exact Stochastic IbM (simulations)",10071
"395","Exact Stochastic IbM (simulations)",9886
"396","Exact Stochastic IbM (simulations)",9717
"397","Exact Stochastic IbM (simulations)",10105
"398","Exact Stochastic IbM (simulations)",10016
"399","Exact Stochastic IbM (simulations)",10184
"400","Exact Stochastic IbM (simulations)",9871
"401","Exact Stochastic IbM (simulations)",10041
"402","Exact Stochastic IbM (simulations)",10122
"403","Exact Stochastic IbM (simulations)",10113
"404","Exact Stochastic IbM (simulations)",10095
"405","Exact Stochastic IbM (simulations)",10068
"406","Exact Stochastic IbM (simulations)",9837
"407","Exact Stochastic IbM (simulations)",9833
"408","Exact Stochastic IbM (simulations)",9830
"409","Exact Stochastic IbM (simulations)",10085
"410","Exact Stochastic IbM (simulations)",10120
"411","Exact Stochastic IbM (simulations)",9728
"412","Exact Stochastic IbM (simulations)",9960
"413","Exact Stochastic IbM (simulations)",10154
"414","Exact Stochastic IbM (simulations)",10105
"415","Exact Stochastic IbM (simulations)",10058
"416","Exact Stochastic IbM (simulations)",9927
"417","Exact Stochastic IbM (simulations)",10246
"418","Exact Stochastic IbM (simulations)",9882
"419","Exact Stochastic IbM (simulations)",10164
"420","Exact Stochastic IbM (simulations)",9852
"421","Exact Stochastic IbM (simulations)",9854
"422","Exact Stochastic IbM (simulations)",9863
"423","Exact Stochastic IbM (simulations)",9993
"424","Exact Stochastic IbM (simulations)",10126
"425","Exact Stochastic IbM (simulations)",9968
"426","Exact Stochastic IbM (simulations)",10261
"427","Exact Stochastic IbM (simulations)",9917
"428","Exact Stochastic IbM (simulations)",10081
"429","Exact Stochastic IbM (simulations)",9909
"430","Exact Stochastic IbM (simulations)",9824
"431","Exact Stochastic IbM (simulations)",10051
"432","Exact Stochastic IbM (simulations)",9763
"433","Exact Stochastic IbM (simulations)",10282
"434","Exact Stochastic IbM (simulations)",10073
"435","Exact Stochastic IbM (simulations)",10063
"436","Exact Stochastic IbM (simulations)",9857
"437","Exact Stochastic IbM (simulations)",9978
"438","Exact Stochastic IbM (simulations)",9924
"439","Exact Stochastic IbM (simulations)",9930
"440","Exact Stochastic IbM (simulations)",9739
"441","Exact Stochastic IbM (simulations)",10072
"442","Exact Stochastic IbM (simulations)",10195
"443","Exact Stochastic IbM (simulations)",10177
"444","Exact Stochastic IbM (simulations)",10210
"445","Exact Stochastic IbM (simulations)",10160
"446","Exact Stochastic IbM (simulations)",10124
"447","Exact Stochastic IbM (simulations)",9963
"448","Exact Stochastic IbM (simulations)",9697
"449","Exact Stochastic IbM (simulations)",10247
"450","Exact Stochastic IbM (simulations)",9930
"451","Exact Stochastic IbM (simulations)",9927
"452","Exact Stochastic IbM (simulations)",10144
"453","Exact Stochastic IbM (simulations)",9863
"454","Exact Stochastic IbM (simulations)",10014
"455","Exact Stochastic IbM (simulations)",9981
"456","Exact Stochastic IbM (simulations)",9892
"457","Exact Stochastic IbM (simulations)",9990
"458","Exact Stochastic IbM (simulations)",9881
"459","Exact Stochastic IbM (simulations)",10001
"460","Exact Stochastic IbM (simulations)",9920
"461","Exact Stochastic IbM (simulations)",10028
"462","Exact Stochastic IbM (simulations)",9908
"463","Exact Stochastic IbM (simulations)",9720
"464","Exact Stochastic IbM (simulations)",9935
"465","Exact Stochastic IbM (simulations)",9883
"466","Exact Stochastic IbM (simulations)",9906
"467","Exact Stochastic IbM (simulations)",9786
"468","Exact Stochastic IbM (simulations)",9992
"469","Exact Stochastic IbM (simulations)",10110
"470","Exact Stochastic IbM (simulations)",9866
"471","Exact Stochastic IbM (simulations)",10064
"472","Exact Stochastic IbM (simulations)",9795
"473","Exact Stochastic IbM (simulations)",9984
"474","Exact Stochastic IbM (simulations)",10113
"475","Exact Stochastic IbM (simulations)",10175
"476","Exact Stochastic IbM (simulations)",9823
"477","Exact Stochastic IbM (simulations)",10106
"478","Exact Stochastic IbM (simulations)",9819
"479","Exact Stochastic IbM (simulations)",10029
"480","Exact Stochastic IbM (simulations)",10076
"481","Exact Stochastic IbM (simulations)",10048
"482","Exact Stochastic IbM (simulations)",10233
"483","Exact Stochastic IbM (simulations)",9887
"484","Exact Stochastic IbM (simulations)",9884
"485","Exact Stochastic IbM (simulations)",10141
"486","Exact Stochastic IbM (simulations)",9847
"487","Exact Stochastic IbM (simulations)",10067
"488","Exact Stochastic IbM (simulations)",10015
"489","Exact Stochastic IbM (simulations)",10344
"490","Exact Stochastic IbM (simulations)",9995
"491","Exact Stochastic IbM (simulations)",9892
"492","Exact Stochastic IbM (simulations)",9909
"493","Exact Stochastic IbM (simulations)",10009
"494","Exact Stochastic IbM (simulations)",10010
"495","Exact Stochastic IbM (simulations)",9961
"496","Exact Stochastic IbM (simulations)",9976
"497","Exact Stochastic IbM (simulations)",9712
"498","Exact Stochastic IbM (simulations)",9731
"499","Exact Stochastic IbM (simulations)",10008
"500","Exact Stochastic IbM (simulations)",10117
"501","Exact Stochastic IbM (simulations)",10059
"502","Exact Stochastic IbM (simulations)",9962
"503","Exact Stochastic IbM (simulations)",10167
"504","Exact Stochastic IbM (simulations)",10210
"505","Exact Stochastic IbM (simulations)",10131
"506","Exact Stochastic IbM (simulations)",9961
"507","Exact Stochastic IbM (simulations)",9836
"508","Exact Stochastic IbM (simulations)",10021
"509","Exact Stochastic IbM (simulations)",10023
"510","Exact Stochastic IbM (simulations)",10085
"511","Exact Stochastic IbM (simulations)",9735
"512","Exact Stochastic IbM (simulations)",9915
"513","Exact Stochastic IbM (simulations)",9872
"514","Exact Stochastic IbM (simulations)",10075
"515","Exact Stochastic IbM (simulations)",9920
"516","Exact Stochastic IbM (simulations)",9804
"517","Exact Stochastic IbM (simulations)",9990
"518","Exact Stochastic IbM (simulations)",9946
"519","Exact Stochastic IbM (simulations)",9867
"520","Exact Stochastic IbM (simulations)",9783
"521","Exact Stochastic IbM (simulations)",10038
"522","Exact Stochastic IbM (simulations)",9935
"523","Exact Stochastic IbM (simulations)",10079
"524","Exact Stochastic IbM (simulations)",10132
"525","Exact Stochastic IbM (simulations)",10046
"526","Exact Stochastic IbM (simulations)",10041
"527","Exact Stochastic IbM (simulations)",9959
"528","Exact Stochastic IbM (simulations)",10010
"529","Exact Stochastic IbM (simulations)",10125
"530","Exact Stochastic IbM (simulations)",9903
"531","Exact Stochastic IbM (simulations)",9778
"532","Exact Stochastic IbM (simulations)",9844
"533","Exact Stochastic IbM (simulations)",10159
"534","Exact Stochastic IbM (simulations)",9896
"535","Exact Stochastic IbM (simulations)",9897
"536","Exact Stochastic IbM (simulations)",10107
"537","Exact Stochastic IbM (simulations)",10075
"538","Exact Stochastic IbM (simulations)",10236
"539","Exact Stochastic IbM (simulations)",9856
"540","Exact Stochastic IbM (simulations)",10248
"541","Exact Stochastic IbM (simulations)",9952
"542","Exact Stochastic IbM (simulations)",10086
"543","Exact Stochastic IbM (simulations)",10058
"544","Exact Stochastic IbM (simulations)",10293
"545","Exact Stochastic IbM (simulations)",9927
"546","Exact Stochastic IbM (simulations)",10031
"547","Exact Stochastic IbM (simulations)",9913
"548","Exact Stochastic IbM (simulations)",9995
"549","Exact Stochastic IbM (simulations)",9899
"550","Exact Stochastic IbM (simulations)",10020
"551","Exact Stochastic IbM (simulations)",9955
"552","Exact Stochastic IbM (simulations)",9851
"553","Exact Stochastic IbM (simulations)",9830
"554","Exact Stochastic IbM (simulations)",9853
"555","Exact Stochastic IbM (simulations)",10034
"556","Exact Stochastic IbM (simulations)",9817
"557","Exact Stochastic IbM (simulations)",9945
"558","Exact Stochastic IbM (simulations)",10066
"559","Exact Stochastic IbM (simulations)",10221
"560","Exact Stochastic IbM (simulations)",9887
"561","Exact Stochastic IbM (simulations)",9898
"562","Exact Stochastic IbM (simulations)",9968
"563","Exact Stochastic IbM (simulations)",9705
"564","Exact Stochastic IbM (simulations)",10108
"565","Exact Stochastic IbM (simulations)",9703
"566","Exact Stochastic IbM (simulations)",10090
"567","Exact Stochastic IbM (simulations)",9845
"568","Exact Stochastic IbM (simulations)",10126
"569","Exact Stochastic IbM (simulations)",10149
"570","Exact Stochastic IbM (simulations)",10222
"571","Exact Stochastic IbM (simulations)",9969
"572","Exact Stochastic IbM (simulations)",9946
"573","Exact Stochastic IbM (simulations)",10190
"574","Exact Stochastic IbM (simulations)",9742
"575","Exact Stochastic IbM (simulations)",9680
"576","Exact Stochastic IbM (simulations)",10015
"577","Exact Stochastic IbM (simulations)",9934
"578","Exact Stochastic IbM (simulations)",10016
"579","Exact Stochastic IbM (simulations)",9742
"580","Exact Stochastic IbM (simulations)",10205
"581","Exact Stochastic IbM (simulations)",10095
"582","Exact Stochastic IbM (simulations)",10100
"583","Exact Stochastic IbM (simulations)",10078
"584","Exact Stochastic IbM (simulations)",9923
"585","Exact Stochastic IbM (simulations)",10059
"586","Exact Stochastic IbM (simulations)",10089
"587","Exact Stochastic IbM (simulations)",10041
"588","Exact Stochastic IbM (simulations)",10092
"589","Exact Stochastic IbM (simulations)",10527
"590","Exact Stochastic IbM (simulations)",10176
"591","Exact Stochastic IbM (simulations)",10127
"592","Exact Stochastic IbM (simulations)",10119
"593","Exact Stochastic IbM (simulations)",9884
"594","Exact Stochastic IbM (simulations)",10208
"595","Exact Stochastic IbM (simulations)",9669
"596","Exact Stochastic IbM (simulations)",9748
"597","Exact Stochastic IbM (simulations)",10093
"598","Exact Stochastic IbM (simulations)",9747
"599","Exact Stochastic IbM (simulations)",9919
"600","Exact Stochastic IbM (simulations)",9987
"601","Exact Stochastic IbM (simulations)",9985
"602","Exact Stochastic IbM (simulations)",10018
"603","Exact Stochastic IbM (simulations)",10043
"604","Exact Stochastic IbM (simulations)",10107
"605","Exact Stochastic IbM (simulations)",9889
"606","Exact Stochastic IbM (simulations)",10046
"607","Exact Stochastic IbM (simulations)",10034
