"","sim","N"
"1237","Fokker-Planck equation (theory)",524.474617258439
"1238","Fokker-Planck equation (theory)",490.567769804358
"1239","Fokker-Planck equation (theory)",489.204864607323
"1240","Fokker-Planck equation (theory)",465.676696220582
"1241","Fokker-Planck equation (theory)",487.182119250016
"1242","Fokker-Planck equation (theory)",529.2031675693
"1243","Fokker-Planck equation (theory)",457.487840354798
"1244","Fokker-Planck equation (theory)",490.485300199223
"1245","Fokker-Planck equation (theory)",463.834360160566
"1246","Fokker-Planck equation (theory)",477.887163864063
"1247","Fokker-Planck equation (theory)",522.480944784575
"1248","Fokker-Planck equation (theory)",548.680892786778
"1249","Fokker-Planck equation (theory)",582.085877923872
"1250","Fokker-Planck equation (theory)",509.627969692038
"1251","Fokker-Planck equation (theory)",506.447840318023
"1252","Fokker-Planck equation (theory)",491.670318073653
"1253","Fokker-Planck equation (theory)",501.042941941057
"1254","Fokker-Planck equation (theory)",494.48668784519
"1255","Fokker-Planck equation (theory)",471.1595625671
"1256","Fokker-Planck equation (theory)",516.764042178148
"1257","Fokker-Planck equation (theory)",543.191564642737
"1258","Fokker-Planck equation (theory)",509.429607221836
"1259","Fokker-Planck equation (theory)",481.198387804071
"1260","Fokker-Planck equation (theory)",493.285241194846
"1261","Fokker-Planck equation (theory)",513.585277412819
"1262","Fokker-Planck equation (theory)",485.226363842768
"1263","Fokker-Planck equation (theory)",449.06902419763
"1264","Fokker-Planck equation (theory)",510.517337498285
"1265","Fokker-Planck equation (theory)",482.960561968529
"1266","Fokker-Planck equation (theory)",491.941275618258
"1267","Fokker-Planck equation (theory)",523.741073547794
"1268","Fokker-Planck equation (theory)",534.614654154989
"1269","Fokker-Planck equation (theory)",524.160343080346
"1270","Fokker-Planck equation (theory)",463.705010279818
"1271","Fokker-Planck equation (theory)",491.925166814448
"1272","Fokker-Planck equation (theory)",451.865627627877
"1273","Fokker-Planck equation (theory)",480.53153608996
"1274","Fokker-Planck equation (theory)",519.783314285481
"1275","Fokker-Planck equation (theory)",494.528654255009
"1276","Fokker-Planck equation (theory)",422.395117330607
"1277","Fokker-Planck equation (theory)",504.517491038173
"1278","Fokker-Planck equation (theory)",538.040934798128
"1279","Fokker-Planck equation (theory)",497.846422216336
"1280","Fokker-Planck equation (theory)",465.343363216663
"1281","Fokker-Planck equation (theory)",432.607271404542
"1282","Fokker-Planck equation (theory)",483.704681333058
"1283","Fokker-Planck equation (theory)",454.984475917109
"1284","Fokker-Planck equation (theory)",449.528198446282
"1285","Fokker-Planck equation (theory)",483.176423194595
"1286","Fokker-Planck equation (theory)",527.094263326914
"1287","Fokker-Planck equation (theory)",511.865377432276
"1288","Fokker-Planck equation (theory)",452.792181732922
"1289","Fokker-Planck equation (theory)",444.757782476322
"1290","Fokker-Planck equation (theory)",439.311287389042
"1291","Fokker-Planck equation (theory)",451.932825386471
"1292","Fokker-Planck equation (theory)",473.45857738425
"1293","Fokker-Planck equation (theory)",474.556327213597
"1294","Fokker-Planck equation (theory)",469.131029945463
"1295","Fokker-Planck equation (theory)",503.343193350932
"1296","Fokker-Planck equation (theory)",437.402305797863
"1297","Fokker-Planck equation (theory)",490.588507018159
"1298","Fokker-Planck equation (theory)",469.366818340077
"1299","Fokker-Planck equation (theory)",496.231665929853
"1300","Fokker-Planck equation (theory)",526.829649915356
"1301","Fokker-Planck equation (theory)",487.192747126635
"1302","Fokker-Planck equation (theory)",544.978936343373
"1303","Fokker-Planck equation (theory)",503.356940551801
"1304","Fokker-Planck equation (theory)",499.136785800424
"1305","Fokker-Planck equation (theory)",463.385064001237
"1306","Fokker-Planck equation (theory)",573.150478122155
"1307","Fokker-Planck equation (theory)",523.539304210137
"1308","Fokker-Planck equation (theory)",432.663358961281
"1309","Fokker-Planck equation (theory)",451.673685806153
"1310","Fokker-Planck equation (theory)",458.939848079835
"1311","Fokker-Planck equation (theory)",506.058790048779
"1312","Fokker-Planck equation (theory)",523.75753534584
"1313","Fokker-Planck equation (theory)",519.908435222978
"1314","Fokker-Planck equation (theory)",481.790822032406
"1315","Fokker-Planck equation (theory)",519.644730561844
"1316","Fokker-Planck equation (theory)",541.843512245132
"1317","Fokker-Planck equation (theory)",481.241498708475
"1318","Fokker-Planck equation (theory)",489.151934698803
"1319","Fokker-Planck equation (theory)",517.447748967627
"1320","Fokker-Planck equation (theory)",511.368124510304
"1321","Fokker-Planck equation (theory)",504.160650836428
"1322","Fokker-Planck equation (theory)",458.375804289904
"1323","Fokker-Planck equation (theory)",514.868167323559
"1324","Fokker-Planck equation (theory)",482.106883829431
"1325","Fokker-Planck equation (theory)",503.609938170637
"1326","Fokker-Planck equation (theory)",514.62828992254
"1327","Fokker-Planck equation (theory)",463.81445254341
"1328","Fokker-Planck equation (theory)",496.318525526204
"1329","Fokker-Planck equation (theory)",510.782817763667
"1330","Fokker-Planck equation (theory)",501.640992997941
"1331","Fokker-Planck equation (theory)",517.153845356313
"1332","Fokker-Planck equation (theory)",559.037936544073
"1333","Fokker-Planck equation (theory)",474.784937739164
"1334","Fokker-Planck equation (theory)",525.860979591165
"1335","Fokker-Planck equation (theory)",484.093233375459
"1336","Fokker-Planck equation (theory)",474.897521988705
"1337","Fokker-Planck equation (theory)",494.87558851467
"1338","Fokker-Planck equation (theory)",519.495794218653
"1339","Fokker-Planck equation (theory)",496.695020662375
"1340","Fokker-Planck equation (theory)",518.092145570965
"1341","Fokker-Planck equation (theory)",524.173584358704
"1342","Fokker-Planck equation (theory)",528.496456606556
"1343","Fokker-Planck equation (theory)",457.205493615592
"1344","Fokker-Planck equation (theory)",521.420243318273
"1345","Fokker-Planck equation (theory)",482.460323089284
"1346","Fokker-Planck equation (theory)",491.327672127396
"1347","Fokker-Planck equation (theory)",570.010698585318
"1348","Fokker-Planck equation (theory)",539.219797226644
"1349","Fokker-Planck equation (theory)",434.06761152528
"1350","Fokker-Planck equation (theory)",495.250669377641
"1351","Fokker-Planck equation (theory)",520.474313760072
"1352","Fokker-Planck equation (theory)",502.144732692882
"1353","Fokker-Planck equation (theory)",475.26935641811
"1354","Fokker-Planck equation (theory)",541.253949845284
"1355","Fokker-Planck equation (theory)",504.53094728432
"1356","Fokker-Planck equation (theory)",523.972018469736
"1357","Fokker-Planck equation (theory)",507.382550936318
"1358","Fokker-Planck equation (theory)",482.888249544289
"1359","Fokker-Planck equation (theory)",503.183673944727
"1360","Fokker-Planck equation (theory)",449.513739668428
"1361","Fokker-Planck equation (theory)",459.99757137038
"1362","Fokker-Planck equation (theory)",558.882293490645
"1363","Fokker-Planck equation (theory)",459.05156533579
"1364","Fokker-Planck equation (theory)",490.879266864921
"1365","Fokker-Planck equation (theory)",519.422407742344
"1366","Fokker-Planck equation (theory)",490.494993439355
"1367","Fokker-Planck equation (theory)",488.244586558729
"1368","Fokker-Planck equation (theory)",502.862347007192
"1369","Fokker-Planck equation (theory)",435.314948963545
"1370","Fokker-Planck equation (theory)",509.953633453923
"1371","Fokker-Planck equation (theory)",498.427716870192
"1372","Fokker-Planck equation (theory)",513.24014887873
"1373","Fokker-Planck equation (theory)",483.529430749283
"1374","Fokker-Planck equation (theory)",536.167588970332
"1375","Fokker-Planck equation (theory)",491.305392544297
"1376","Fokker-Planck equation (theory)",479.333539760135
"1377","Fokker-Planck equation (theory)",559.566368114857
"1378","Fokker-Planck equation (theory)",471.990586489515
"1379","Fokker-Planck equation (theory)",501.055763278313
"1380","Fokker-Planck equation (theory)",468.491276118417
"1381","Fokker-Planck equation (theory)",464.728319587117
"1382","Fokker-Planck equation (theory)",548.830474370266
"1383","Fokker-Planck equation (theory)",535.90449539524
"1384","Fokker-Planck equation (theory)",489.928532220046
"1385","Fokker-Planck equation (theory)",506.387673432901
"1386","Fokker-Planck equation (theory)",522.66060522938
"1387","Fokker-Planck equation (theory)",509.800562641876
"1388","Fokker-Planck equation (theory)",476.398862139252
"1389","Fokker-Planck equation (theory)",510.719178384272
"1390","Fokker-Planck equation (theory)",445.507427325116
"1391","Fokker-Planck equation (theory)",548.145282893675
"1392","Fokker-Planck equation (theory)",503.156171624367
"1393","Fokker-Planck equation (theory)",485.199111481993
"1394","Fokker-Planck equation (theory)",434.610071219667
"1395","Fokker-Planck equation (theory)",506.197103508212
"1396","Fokker-Planck equation (theory)",536.867212130032
"1397","Fokker-Planck equation (theory)",465.666611750356
"1398","Fokker-Planck equation (theory)",532.100061553439
"1399","Fokker-Planck equation (theory)",479.464072998194
"1400","Fokker-Planck equation (theory)",448.014296168294
"1401","Fokker-Planck equation (theory)",450.093416954486
"1402","Fokker-Planck equation (theory)",442.11913436201
"1403","Fokker-Planck equation (theory)",460.532790275024
"1404","Fokker-Planck equation (theory)",504.753044709638
"1405","Fokker-Planck equation (theory)",571.525787897479
"1406","Fokker-Planck equation (theory)",521.676658661225
"1407","Fokker-Planck equation (theory)",530.084228055509
"1408","Fokker-Planck equation (theory)",463.329009283918
"1409","Fokker-Planck equation (theory)",439.597348639453
"1410","Fokker-Planck equation (theory)",487.040818473324
"1411","Fokker-Planck equation (theory)",503.941600349153
"1412","Fokker-Planck equation (theory)",500.245716374881
"1413","Fokker-Planck equation (theory)",506.983478872259
"1414","Fokker-Planck equation (theory)",467.462344847257
"1415","Fokker-Planck equation (theory)",518.909754576005
"1416","Fokker-Planck equation (theory)",489.675439392736
"1417","Fokker-Planck equation (theory)",527.014674232041
"1418","Fokker-Planck equation (theory)",504.838547813243
"1419","Fokker-Planck equation (theory)",481.127146798019
"1420","Fokker-Planck equation (theory)",495.560417663835
"1421","Fokker-Planck equation (theory)",457.288369426865
"1422","Fokker-Planck equation (theory)",556.006858801548
"1423","Fokker-Planck equation (theory)",517.710418106832
"1424","Fokker-Planck equation (theory)",485.817110976992
"1425","Fokker-Planck equation (theory)",481.859899834825
"1426","Fokker-Planck equation (theory)",516.816534598156
"1427","Fokker-Planck equation (theory)",534.577625852322
"1428","Fokker-Planck equation (theory)",496.999987129551
"1429","Fokker-Planck equation (theory)",483.54311732681
"1430","Fokker-Planck equation (theory)",464.744589664095
"1431","Fokker-Planck equation (theory)",477.265240053036
"1432","Fokker-Planck equation (theory)",475.404575224895
"1433","Fokker-Planck equation (theory)",553.40283434063
"1434","Fokker-Planck equation (theory)",484.90571437189
"1435","Fokker-Planck equation (theory)",533.721142207327
"1436","Fokker-Planck equation (theory)",478.683293024442
"1437","Fokker-Planck equation (theory)",426.483492504975
"1438","Fokker-Planck equation (theory)",497.841609546069
"1439","Fokker-Planck equation (theory)",488.92839315352
"1440","Fokker-Planck equation (theory)",468.245826487671
"1441","Fokker-Planck equation (theory)",473.363194919771
"1442","Fokker-Planck equation (theory)",518.354138354973
"1443","Fokker-Planck equation (theory)",461.116693824276
"1444","Fokker-Planck equation (theory)",445.633270438918
"1445","Fokker-Planck equation (theory)",496.12363929394
"1446","Fokker-Planck equation (theory)",480.024353350065
"1447","Fokker-Planck equation (theory)",481.816346855425
"1448","Fokker-Planck equation (theory)",530.288247691023
"1449","Fokker-Planck equation (theory)",520.414393096651
"1450","Fokker-Planck equation (theory)",526.505966970538
"1451","Fokker-Planck equation (theory)",496.249766307642
"1452","Fokker-Planck equation (theory)",539.067002340197
"1453","Fokker-Planck equation (theory)",477.044705061633
"1454","Fokker-Planck equation (theory)",526.505881235862
"1455","Fokker-Planck equation (theory)",479.712076298644
"1456","Fokker-Planck equation (theory)",475.965812532696
"1457","Fokker-Planck equation (theory)",492.407116118383
"1458","Fokker-Planck equation (theory)",540.736978513663
"1459","Fokker-Planck equation (theory)",523.89403645238
"1460","Fokker-Planck equation (theory)",485.823472593424
"1461","Fokker-Planck equation (theory)",502.344511197928
"1462","Fokker-Planck equation (theory)",530.906786825226
"1463","Fokker-Planck equation (theory)",501.152452041143
"1464","Fokker-Planck equation (theory)",540.560672161018
"1465","Fokker-Planck equation (theory)",547.252454437819
"1466","Fokker-Planck equation (theory)",486.389703969078
"1467","Fokker-Planck equation (theory)",486.209800493741
"1468","Fokker-Planck equation (theory)",527.373561325405
"1469","Fokker-Planck equation (theory)",482.29007751235
"1470","Fokker-Planck equation (theory)",509.498653191047
"1471","Fokker-Planck equation (theory)",478.365450116203
"1472","Fokker-Planck equation (theory)",548.47271828201
"1473","Fokker-Planck equation (theory)",510.382334332454
"1474","Fokker-Planck equation (theory)",571.837299002944
"1475","Fokker-Planck equation (theory)",492.794831532494
"1476","Fokker-Planck equation (theory)",518.633739453829
"1477","Fokker-Planck equation (theory)",493.343946382684
"1478","Fokker-Planck equation (theory)",474.231768672558
"1479","Fokker-Planck equation (theory)",462.648045485148
"1480","Fokker-Planck equation (theory)",459.569962681727
"1481","Fokker-Planck equation (theory)",499.819482853073
"1482","Fokker-Planck equation (theory)",507.9659291657
"1483","Fokker-Planck equation (theory)",528.674063240849
"1484","Fokker-Planck equation (theory)",498.150709321231
"1485","Fokker-Planck equation (theory)",489.036602758923
"1486","Fokker-Planck equation (theory)",470.173081815451
"1487","Fokker-Planck equation (theory)",507.871675013402
"1488","Fokker-Planck equation (theory)",476.667166606925
"1489","Fokker-Planck equation (theory)",456.335525411876
"1490","Fokker-Planck equation (theory)",535.789136351878
"1491","Fokker-Planck equation (theory)",478.265826160281
"1492","Fokker-Planck equation (theory)",502.095785644288
"1493","Fokker-Planck equation (theory)",515.845875847969
"1494","Fokker-Planck equation (theory)",476.367885293579
"1495","Fokker-Planck equation (theory)",490.091602967714
"1496","Fokker-Planck equation (theory)",497.505540642993
"1497","Fokker-Planck equation (theory)",496.500096599445
"1498","Fokker-Planck equation (theory)",509.093698403634
"1499","Fokker-Planck equation (theory)",496.288595655409
"1500","Fokker-Planck equation (theory)",483.868586342698
"1501","Fokker-Planck equation (theory)",451.547645980453
"1502","Fokker-Planck equation (theory)",475.889777835605
"1503","Fokker-Planck equation (theory)",502.699428448682
"1504","Fokker-Planck equation (theory)",510.987200779438
"1505","Fokker-Planck equation (theory)",509.022655404256
"1506","Fokker-Planck equation (theory)",484.177867011799
"1507","Fokker-Planck equation (theory)",472.575199933357
"1508","Fokker-Planck equation (theory)",485.661581235053
"1509","Fokker-Planck equation (theory)",507.055277491873
"1510","Fokker-Planck equation (theory)",488.207031619533
"1511","Fokker-Planck equation (theory)",525.07057193907
"1512","Fokker-Planck equation (theory)",472.079302365441
"1513","Fokker-Planck equation (theory)",534.786433250284
"1514","Fokker-Planck equation (theory)",431.634943660454
"1515","Fokker-Planck equation (theory)",487.279983651977
"1516","Fokker-Planck equation (theory)",543.506682331154
"1517","Fokker-Planck equation (theory)",534.947819333483
"1518","Fokker-Planck equation (theory)",445.259313557865
"1519","Fokker-Planck equation (theory)",547.169792519827
"1520","Fokker-Planck equation (theory)",527.876415622193
"1521","Fokker-Planck equation (theory)",471.627141549651
"1522","Fokker-Planck equation (theory)",473.894259287203
"1523","Fokker-Planck equation (theory)",516.697424611737
"1524","Fokker-Planck equation (theory)",526.879144244818
"1525","Fokker-Planck equation (theory)",551.680385641234
"1526","Fokker-Planck equation (theory)",522.175950646187
"1527","Fokker-Planck equation (theory)",455.632825228451
"1528","Fokker-Planck equation (theory)",475.758098002401
"1529","Fokker-Planck equation (theory)",581.263805370309
"1530","Fokker-Planck equation (theory)",497.024287020929
"1531","Fokker-Planck equation (theory)",442.175988675223
"1532","Fokker-Planck equation (theory)",516.681382905258
"1533","Fokker-Planck equation (theory)",502.913367168761
"1534","Fokker-Planck equation (theory)",476.187430751741
"1535","Fokker-Planck equation (theory)",490.766865909521
"1536","Fokker-Planck equation (theory)",494.66291273572
"1537","Fokker-Planck equation (theory)",508.394173240886
"1538","Fokker-Planck equation (theory)",508.228113250313
"1539","Fokker-Planck equation (theory)",513.173636985168
"1540","Fokker-Planck equation (theory)",491.5044177273
"1541","Fokker-Planck equation (theory)",460.533776701418
"1542","Fokker-Planck equation (theory)",441.641271323205
"1543","Fokker-Planck equation (theory)",502.989435050854
"1544","Fokker-Planck equation (theory)",446.919798374949
"1545","Fokker-Planck equation (theory)",507.981002473601
"1546","Fokker-Planck equation (theory)",422.695840321201
"1547","Fokker-Planck equation (theory)",466.380624867932
"1548","Fokker-Planck equation (theory)",515.289918890447
"1549","Fokker-Planck equation (theory)",469.405865466152
"1550","Fokker-Planck equation (theory)",489.972237942052
"1551","Fokker-Planck equation (theory)",548.427637128802
"1552","Fokker-Planck equation (theory)",464.033352417833
"1553","Fokker-Planck equation (theory)",486.489824962283
"1554","Fokker-Planck equation (theory)",496.345086583012
"1555","Fokker-Planck equation (theory)",454.797194671519
"1556","Fokker-Planck equation (theory)",522.113014716371
"1557","Fokker-Planck equation (theory)",534.466552096532
"1558","Fokker-Planck equation (theory)",507.794178656323
"1559","Fokker-Planck equation (theory)",495.056578862834
"1560","Fokker-Planck equation (theory)",530.330984639128
"1561","Fokker-Planck equation (theory)",493.375822582286
"1562","Fokker-Planck equation (theory)",490.205266013433
"1563","Fokker-Planck equation (theory)",508.815798280125
"1564","Fokker-Planck equation (theory)",488.919104328967
"1565","Fokker-Planck equation (theory)",514.331218960916
"1566","Fokker-Planck equation (theory)",533.638347291735
"1567","Fokker-Planck equation (theory)",517.413434408581
"1568","Fokker-Planck equation (theory)",531.838201548078
"1569","Fokker-Planck equation (theory)",502.415200783648
"1570","Fokker-Planck equation (theory)",507.359366250399
"1571","Fokker-Planck equation (theory)",468.971080675493
"1572","Fokker-Planck equation (theory)",485.645978557135
"1573","Fokker-Planck equation (theory)",533.437565760873
"1574","Fokker-Planck equation (theory)",438.613734795944
"1575","Fokker-Planck equation (theory)",557.903602882213
"1576","Fokker-Planck equation (theory)",476.49404379832
"1577","Fokker-Planck equation (theory)",509.650183743827
"1578","Fokker-Planck equation (theory)",497.96711796142
"1579","Fokker-Planck equation (theory)",528.672525979098
"1580","Fokker-Planck equation (theory)",510.043535835393
"1581","Fokker-Planck equation (theory)",481.344919131633
"1582","Fokker-Planck equation (theory)",492.312833905802
"1583","Fokker-Planck equation (theory)",518.374358061644
"1584","Fokker-Planck equation (theory)",491.895794357994
"1585","Fokker-Planck equation (theory)",552.941207889393
"1586","Fokker-Planck equation (theory)",502.596865328896
"1587","Fokker-Planck equation (theory)",457.402279174234
"1588","Fokker-Planck equation (theory)",464.879451445561
"1589","Fokker-Planck equation (theory)",457.273783984823
"1590","Fokker-Planck equation (theory)",480.143452366415
"1591","Fokker-Planck equation (theory)",473.591372763772
"1592","Fokker-Planck equation (theory)",471.80559501235
"1593","Fokker-Planck equation (theory)",521.607190223796
"1594","Fokker-Planck equation (theory)",503.122708194703
"1595","Fokker-Planck equation (theory)",451.432838069461
"1596","Fokker-Planck equation (theory)",478.62220917532
"1597","Fokker-Planck equation (theory)",439.676493082645
"1598","Fokker-Planck equation (theory)",530.487698085012
"1599","Fokker-Planck equation (theory)",486.290581720021
"1600","Fokker-Planck equation (theory)",564.568671333397
"1601","Fokker-Planck equation (theory)",532.106360348127
"1602","Fokker-Planck equation (theory)",462.390629062238
"1603","Fokker-Planck equation (theory)",513.970996410901
"1604","Fokker-Planck equation (theory)",484.328061254972
"1605","Fokker-Planck equation (theory)",532.685086819477
"1606","Fokker-Planck equation (theory)",522.906740715822
"1607","Fokker-Planck equation (theory)",538.474313493738
"1608","Fokker-Planck equation (theory)",500.618971189295
"1609","Fokker-Planck equation (theory)",425.240099372162
"1610","Fokker-Planck equation (theory)",485.953234022719
"1611","Fokker-Planck equation (theory)",479.51991946067
"1612","Fokker-Planck equation (theory)",448.310462715765
"1613","Fokker-Planck equation (theory)",483.340771210344
"1614","Fokker-Planck equation (theory)",505.438273852602
"1615","Fokker-Planck equation (theory)",477.051072549761
"1616","Fokker-Planck equation (theory)",490.774958012403
"1617","Fokker-Planck equation (theory)",469.171077530119
"1618","Fokker-Planck equation (theory)",473.466115983877
"1619","Fokker-Planck equation (theory)",490.916329992218
"1620","Fokker-Planck equation (theory)",454.259018379563
"1621","Fokker-Planck equation (theory)",468.513769812578
"1622","Fokker-Planck equation (theory)",484.451143628475
"1623","Fokker-Planck equation (theory)",513.935026003069
"1624","Fokker-Planck equation (theory)",501.713506036914
"1625","Fokker-Planck equation (theory)",516.91578351059
"1626","Fokker-Planck equation (theory)",514.78429409483
"1627","Fokker-Planck equation (theory)",456.650187188692
"1628","Fokker-Planck equation (theory)",544.145549377285
"1629","Fokker-Planck equation (theory)",503.59471942558
"1630","Fokker-Planck equation (theory)",500.313509240152
"1631","Fokker-Planck equation (theory)",541.13663614375
"1632","Fokker-Planck equation (theory)",443.479971202216
"1633","Fokker-Planck equation (theory)",468.759311460383
"1634","Fokker-Planck equation (theory)",489.354522375608
"1635","Fokker-Planck equation (theory)",497.54387512012
"1636","Fokker-Planck equation (theory)",431.672567402436
"1637","Fokker-Planck equation (theory)",507.120688586843
"1638","Fokker-Planck equation (theory)",520.771249892138
"1639","Fokker-Planck equation (theory)",514.674332072803
"1640","Fokker-Planck equation (theory)",507.431549607069
"1641","Fokker-Planck equation (theory)",530.106557237301
"1642","Fokker-Planck equation (theory)",530.28964699852
"1643","Fokker-Planck equation (theory)",552.956367026378
"1644","Fokker-Planck equation (theory)",514.012898559872
"1645","Fokker-Planck equation (theory)",572.552660977055
"1646","Fokker-Planck equation (theory)",489.435028567648
"1647","Fokker-Planck equation (theory)",526.533300264404
"1648","Fokker-Planck equation (theory)",482.714045070218
"1649","Fokker-Planck equation (theory)",529.426341704331
"1650","Fokker-Planck equation (theory)",512.626926980797
"1651","Fokker-Planck equation (theory)",465.00676132366
"1652","Fokker-Planck equation (theory)",448.044526785294
"1653","Fokker-Planck equation (theory)",472.571354917671
"1654","Fokker-Planck equation (theory)",515.697293434701
"1655","Fokker-Planck equation (theory)",475.865744035068
"1656","Fokker-Planck equation (theory)",473.408176123348
"1657","Fokker-Planck equation (theory)",448.215925025517
"1658","Fokker-Planck equation (theory)",511.202965717101
"1659","Fokker-Planck equation (theory)",496.910524415229
"1660","Fokker-Planck equation (theory)",504.260162958152
"1661","Fokker-Planck equation (theory)",462.371232615961
"1662","Fokker-Planck equation (theory)",532.55750091785
"1663","Fokker-Planck equation (theory)",476.297811027549
"1664","Fokker-Planck equation (theory)",517.027692457421
"1665","Fokker-Planck equation (theory)",501.315450193783
"1666","Fokker-Planck equation (theory)",457.233434337801
"1667","Fokker-Planck equation (theory)",482.795760207385
"1668","Fokker-Planck equation (theory)",523.786994529131
"1669","Fokker-Planck equation (theory)",508.795842523685
"1670","Fokker-Planck equation (theory)",482.645623019764
"1671","Fokker-Planck equation (theory)",470.008112795194
"1672","Fokker-Planck equation (theory)",520.197785905926
"1673","Fokker-Planck equation (theory)",461.666171128707
"1674","Fokker-Planck equation (theory)",475.036392249884
"1675","Fokker-Planck equation (theory)",506.527960202273
"1676","Fokker-Planck equation (theory)",490.154759945588
"1677","Fokker-Planck equation (theory)",468.49167090362
"1678","Fokker-Planck equation (theory)",500.49833585404
"1679","Fokker-Planck equation (theory)",496.576588841954
"1680","Fokker-Planck equation (theory)",478.875501962827
"1681","Fokker-Planck equation (theory)",487.281786633478
"1682","Fokker-Planck equation (theory)",468.474201929994
"1683","Fokker-Planck equation (theory)",494.055918684535
"1684","Fokker-Planck equation (theory)",463.863163802259
"1685","Fokker-Planck equation (theory)",433.793832069139
"1686","Fokker-Planck equation (theory)",533.641479057128
"1687","Fokker-Planck equation (theory)",481.891880695081
"1688","Fokker-Planck equation (theory)",490.341338959974
"1689","Fokker-Planck equation (theory)",479.34119591725
"1690","Fokker-Planck equation (theory)",503.638879777059
"1691","Fokker-Planck equation (theory)",530.333435497491
"1692","Fokker-Planck equation (theory)",496.414689340589
"1693","Fokker-Planck equation (theory)",545.406470621533
"1694","Fokker-Planck equation (theory)",498.528572709542
"1695","Fokker-Planck equation (theory)",484.727619569421
"1696","Fokker-Planck equation (theory)",437.747916218414
"1697","Fokker-Planck equation (theory)",486.941122203933
"1698","Fokker-Planck equation (theory)",504.481657891163
"1699","Fokker-Planck equation (theory)",502.816051291757
"1700","Fokker-Planck equation (theory)",470.548629631414
"1701","Fokker-Planck equation (theory)",488.41148196473
"1702","Fokker-Planck equation (theory)",459.915913228326
"1703","Fokker-Planck equation (theory)",494.468370225939
"1704","Fokker-Planck equation (theory)",504.577181547538
"1705","Fokker-Planck equation (theory)",443.116723647076
"1706","Fokker-Planck equation (theory)",475.321540330059
"1707","Fokker-Planck equation (theory)",501.525089822778
"1708","Fokker-Planck equation (theory)",489.307517012418
"1709","Fokker-Planck equation (theory)",505.938398497426
"1710","Fokker-Planck equation (theory)",514.163896309643
"1711","Fokker-Planck equation (theory)",398.248842528118
"1712","Fokker-Planck equation (theory)",525.303543944824
"1713","Fokker-Planck equation (theory)",484.756184536371
"1714","Fokker-Planck equation (theory)",485.556168022491
"1715","Fokker-Planck equation (theory)",488.332783392268
"1716","Fokker-Planck equation (theory)",487.92853356345
"1717","Fokker-Planck equation (theory)",544.288214666712
"1718","Fokker-Planck equation (theory)",528.816858552049
"1719","Fokker-Planck equation (theory)",489.177936446895
"1720","Fokker-Planck equation (theory)",487.277169843475
"1721","Fokker-Planck equation (theory)",561.946529850598
"1722","Fokker-Planck equation (theory)",507.927269746346
"1723","Fokker-Planck equation (theory)",475.139591980162
"1724","Fokker-Planck equation (theory)",470.186945935536
"1725","Fokker-Planck equation (theory)",490.020063831521
"1726","Fokker-Planck equation (theory)",555.938485412246
"1727","Fokker-Planck equation (theory)",475.824939629199
"1728","Fokker-Planck equation (theory)",512.740245682706
"1729","Fokker-Planck equation (theory)",499.749160270035
"1730","Fokker-Planck equation (theory)",475.59615358613
"1731","Fokker-Planck equation (theory)",471.401353061373
"1732","Fokker-Planck equation (theory)",543.922390984891
"1733","Fokker-Planck equation (theory)",424.009041098035
"1734","Fokker-Planck equation (theory)",551.872448119663
"1735","Fokker-Planck equation (theory)",539.168219580958
"1736","Fokker-Planck equation (theory)",475.166104918246
"1737","Fokker-Planck equation (theory)",489.424245212586
"1738","Fokker-Planck equation (theory)",530.142056017824
"1739","Fokker-Planck equation (theory)",470.875832653252
"1740","Fokker-Planck equation (theory)",474.596982538925
"1741","Fokker-Planck equation (theory)",529.658758173231
"1742","Fokker-Planck equation (theory)",468.430046132406
"1743","Fokker-Planck equation (theory)",485.293874973631
"1744","Fokker-Planck equation (theory)",539.194353163129
"1745","Fokker-Planck equation (theory)",491.81359296617
"1746","Fokker-Planck equation (theory)",591.841084653575
"1747","Fokker-Planck equation (theory)",494.424264049856
"1748","Fokker-Planck equation (theory)",499.772787321394
"1749","Fokker-Planck equation (theory)",510.202888223322
"1750","Fokker-Planck equation (theory)",525.256178883461
"1751","Fokker-Planck equation (theory)",456.154455967198
"1752","Fokker-Planck equation (theory)",501.905392959758
"1753","Fokker-Planck equation (theory)",484.615953738258
"1754","Fokker-Planck equation (theory)",458.949238614593
"1755","Fokker-Planck equation (theory)",526.906377058861
"1756","Fokker-Planck equation (theory)",483.889007418703
"1757","Fokker-Planck equation (theory)",450.662546807845
"1758","Fokker-Planck equation (theory)",520.964399414296
"1759","Fokker-Planck equation (theory)",522.624672519584
"1760","Fokker-Planck equation (theory)",486.906166825437
"1761","Fokker-Planck equation (theory)",498.874583791177
"1762","Fokker-Planck equation (theory)",497.134276298274
"1763","Fokker-Planck equation (theory)",541.193131117109
"1764","Fokker-Planck equation (theory)",514.037589036184
"1765","Fokker-Planck equation (theory)",505.570847035398
"1766","Fokker-Planck equation (theory)",523.111450454013
"1767","Fokker-Planck equation (theory)",472.581405940453
"1768","Fokker-Planck equation (theory)",502.032846358098
"1769","Fokker-Planck equation (theory)",460.91603212981
"1770","Fokker-Planck equation (theory)",507.669041800273
"1771","Fokker-Planck equation (theory)",493.647164331943
"1772","Fokker-Planck equation (theory)",518.770466695483
"1773","Fokker-Planck equation (theory)",463.543399511904
"1774","Fokker-Planck equation (theory)",474.464892605525
